rating,title,text,recommend,name,fit,itemId,helpful,notHelpful,flag,createdAt
3,assumenda minus qui,Itaque saepe beatae assumenda culpa inventore quis atque. Quidem quam veritatis voluptatem voluptatibus facere non perspiciatis. Qui est in.,true,Orlo,5,1,24,23,false,Sat Jan 06 2018 11:20:01 GMT-0800 (PST)
3,id ut quaerat,Nesciunt error omnis qui rerum temporibus quos enim non. Aut qui eos quidem. Facere ex ut tempora ab. Doloremque qui et distinctio praesentium dicta ipsum a veritatis repellat. Impedit est vel quia voluptas.,true,Rick,2,1,8,39,false,Wed Mar 07 2018 13:39:07 GMT-0800 (PST)
4,est possimus quis,Ab dolores rerum maiores voluptas. Ipsum eos repellat praesentium iusto ut quia deserunt omnis. Iure voluptatem at iusto. Fugiat eos iste expedita porro tempore facilis. Fugit excepturi ab nostrum voluptas et sint quia.,true,Anne,1,1,39,45,false,Thu Jun 15 2017 23:09:13 GMT-0700 (PDT)
5,cupiditate temporibus reprehenderit,Qui officia voluptas molestiae officiis. Repudiandae molestias velit hic. A hic aut officia ex eum nesciunt itaque. Repellendus excepturi soluta provident aliquid eum doloremque. Deserunt dolore pariatur maiores enim et veniam consequuntur.,true,Christopher,2,1,9,46,false,Tue Mar 17 2015 14:42:18 GMT-0700 (PDT)
4,sed voluptatem corrupti,Aliquam autem quam corporis sunt labore aliquid. Quidem quas omnis. Maiores ullam assumenda provident tempore qui inventore. Molestias dolor qui eaque fugiat est fugit aut rerum assumenda. Aut maxime earum fuga et quam aspernatur deleniti consequatur. Necessitatibus error culpa nostrum voluptatem hic voluptatibus aliquam sit.,false,Donald,4,1,23,14,false,Thu Nov 19 2015 18:07:24 GMT-0800 (PST)
2,eius molestiae libero,Ducimus quia est corporis quis voluptatem quos sequi. Ipsa est nemo culpa rerum dolorem perferendis eos inventore. Sint qui quaerat vel necessitatibus ut velit labore.,false,Brendan,4,1,28,5,false,Fri Jul 06 2018 06:37:18 GMT-0700 (PDT)
1,magnam consequatur harum,Reiciendis ducimus doloribus quibusdam reiciendis aut totam delectus atque tempore. Reiciendis dolor voluptatem voluptate at enim. Consequatur tempora sit ducimus consequatur id illo. Unde delectus et omnis provident praesentium expedita quod. Voluptatum numquam odit repellat laudantium voluptatem eos rerum.,true,Sophia,2,1,27,17,false,Thu Sep 06 2018 13:50:53 GMT-0700 (PDT)
1,qui provident error,Atque amet nulla perspiciatis ad ducimus autem unde. Nobis quae rerum. Fuga assumenda consequuntur facilis alias placeat tempora. Rerum praesentium et repellat saepe. Asperiores laborum provident qui inventore.,true,Kiera,5,1,19,5,false,Sat Sep 23 2017 20:15:30 GMT-0700 (PDT)
4,sed sapiente et,Illum laborum voluptatem at tenetur ut officia voluptatem maiores et. Iure labore praesentium quidem magni dolorem accusantium consequatur id. Distinctio dolores quasi temporibus. Deleniti mollitia qui eligendi autem at. Aut ut nemo omnis corporis temporibus architecto velit. Et doloremque nobis voluptatem a dolores at velit quam.,true,Alexanne,5,1,30,45,false,Sat Feb 10 2018 18:17:08 GMT-0800 (PST)
5,saepe dolores est,Commodi quis totam ipsum enim nihil voluptatum. Delectus doloribus voluptate dolor est labore vel sint similique. Impedit omnis amet maiores quo in sed nemo ipsa delectus.,true,Chandler,2,1,40,32,false,Thu Apr 21 2016 05:17:15 GMT-0700 (PDT)
